"NHD","Septic Load","Point Source Load","Developed, Open Space","Cultivated Crops","Forest","Developed, Low Intensity","Developed, Medium Intensity","Pasture/Hay","Developed, High Intensity","WAYLAND - V STP","SPRINGWATER-T WWTP","Total"
"04130003001280",0,0,4.2175807466184,46.54716885,3.93638265,2.3096275517196,NA,23.251344975,NA,NA,NA,80.262104773338
"04130003001293",0,0,0.826976616984,29.20039785,16.6795875,1.358604442188,0.29534879178,0.189035325,NA,NA,NA,48.549950525952
"04130003002961",0,0,NA,NA,0.4003101,NA,NA,0.2835529875,NA,NA,NA,0.6838630875
"04130003002963",0,0,NA,1.44556425,0.1334367,NA,NA,NA,NA,NA,NA,1.57900095
"04130003003030",0,0,43.9124583618504,1918.5528726,145.46824245,13.0426026450048,4.72558066848,386.577239625,1.8193485573648,NA,NA,2514.0983449077
"04130003003141",0,0,5.8715339805864,85.28829075,0.11119725,3.39651110547,7.3837197945,28.0717457625,1.8193485573648,NA,NA,131.942347200421
"04130003003246",0,0,0.6615812935872,183.00843405,3.4693542,0.1358604442188,NA,33.081181875,NA,NA,NA,220.356411862806
"04130003003392",0,0,16.2914393545848,850.85911755,16.25703795,1.6303253306256,0.29534879178,94.9902508125,NA,NA,NA,980.32351978949
"04130003003573",0,0,4.4656737317136,NA,52.7519754,0.2717208884376,NA,14.6502376875,NA,NA,NA,72.1396077076512
"04130003003631",0,0,NA,NA,7.36125795,NA,NA,NA,NA,NA,NA,7.36125795
"04130003003650",0,0,0.1653953233968,26.0201565,0.1334367,NA,NA,6.8997893625,NA,NA,NA,33.2187778858968
"04130003004018",0,0,14.8028814440136,235.9160856,34.4711475,0.4075813326564,NA,70.6046938875,NA,NA,NA,356.20238976417
"04130003004019",0,0,6.7812082592688,151.78424625,24.61907115,0.2717208884376,NA,30.62372265,NA,NA,NA,214.079969197706
"04130003004069",0,0,NA,NA,5.80449645,NA,NA,1.13421195,NA,NA,NA,6.9387084
"04130003004071",0,0,0.7442789552856,NA,1.3788459,2.3096275517196,0.59069758356,NA,0.4548371393412,NA,NA,5.4782871299064
"04130003004072",0,0,NA,NA,2.9800863,0.4075813326564,NA,NA,NA,NA,NA,3.3876676326564
"04130003004086",0,0,NA,0.86733855,2.51305785,NA,NA,NA,NA,NA,NA,3.3803964
"04130003004093",0,0,112.055331601332,2476.82978595,114.5331675,110.726262038322,31.89766951224,772.0202673,NA,NA,NA,3618.06248390189
"04130003004100",0,0,92.8694740873032,730.58817195,74.6355942,46.192551034392,13.2906956301,165.405909375,4.0935342540708,NA,NA,1127.07593053087
"04130003004106",0,0,0.1653953233968,13.58830395,0.95629635,0.2717208884376,NA,3.213600525,NA,NA,NA,18.1953170368344
"04130003004107",0,0,1.240464925476,85.86651645,6.47167995,0.1358604442188,NA,21.739062375,NA,NA,NA,115.453584144695
"04130003004127",0,0,4.0521854232216,387.12210615,0.64494405,2.1737671075008,1.18139516712,66.2568814125,NA,NA,NA,461.431279310342
"04130003004140",0,0,15.2163697525056,831.19944375,5.8267359,18.341159969538,3.54418550136,187.14497175,0.9096742786824,NA,NA,1062.18254090209
"04130003004157",0,0,0.413488308492,NA,0.06671835,0.1358604442188,NA,NA,NA,NA,NA,0.6160671027108
"04130003004173",0,0,0.0826976616984,36.13910625,9.31832955,0.1358604442188,NA,9.9243545625,NA,NA,NA,55.6003484684172
"04130003004196",0,0,7.442789552856,94.53990195,12.25393695,5.7061386571896,NA,17.3912499,NA,NA,NA,137.334017010046
"04130003004199",0,0,0.0826976616984,0.5782257,NA,NA,NA,NA,NA,NA,NA,0.6609233616984
