"LAKE_ID","Y_Coordinate","X_Coordinate","maxdate"
"1301SNY0377",42.663101,-73.634697,2010-10-17
"1301STI0183C",41.444,-73.821297,2005-06-09
"1301SUM0193",41.310299,-74.096001,2008-08-12
"1301SWA0030A",41.1096,-73.833702,2010-09-15
"1301TEA0188B",41.3195,-74.079903,2009-06-18
"1301TOM0150I",41.271599,-73.990303,2001-09-02
"1301UTW0190",41.3111,-74.082199,2008-08-07
"1301UWB0159B",41.240501,-73.981499,2007-09-18
"1301UWB0168F",41.430599,-73.859497,2005-06-09
"1301UWB0168G",41.4403,-73.850304,2009-08-20
"1301VAN1043",40.8899,-73.890999,2009-09-23
"1301WAL0165",41.315399,-73.932503,2008-08-24
"1301WEL0150C",41.230701,-74.074699,2008-09-09
"1301WELXXX1",41.233074,-74.069781,2006-07-26
"1301WHI0429",42.7803,-73.428001,2010-09-16
"1302BLU0122A",41.191601,-73.592201,2008-10-12
"1302JOHXXX1",41.251382,-73.656598,2005-06-24
"1302KAT0107A",41.285301,-73.654999,2010-09-11
"1302KIT0114",41.2435,-73.549004,2008-07-06
"1302LIN0057A",41.341999,-73.725403,2009-09-04
"1302MAH0053",41.380501,-73.739403,2002-08-19
"1302OSC0118",41.296501,-73.561401,2010-10-02
"1302PEA0093",41.362999,-73.580002,2010-10-02
"1302PUT0093B",41.4664,-73.539597,2003-11-18
"1302RIP0119",41.300098,-73.562798,2010-10-03
"1302SHA0128J",41.208199,-73.819199,2010-09-22
"1302SHE0050A",41.328098,-73.740601,2010-09-04
"1302TRU0115A",41.2817,-73.553398,2010-09-24
"1302UWB0044H",41.2939,-73.663101,2010-09-18
"1302UWB0089F",41.5238,-73.644897,2005-10-11
"1302UWB0128A",41.2118,-73.831398,2010-09-22
"1302UWB5115",41.311798,-73.704102,2008-09-20
"1302WAC0117",41.297699,-73.584099,2010-10-03
"1303BEA0234",41.442001,-74.115898,2010-10-24
"1303WAL0257",41.306999,-74.222504,2003-11-18
"1304SYL0352",41.608799,-73.7416,2008-09-10
"1304UWB0345P",41.4809,-73.852799,2009-09-09
"1304UWB0346A",41.687,-73.798897,2005-06-24
"1304WHA0353",41.5537,-73.664902,2001-10-21
"1305HUN0403",41.903,-73.647598,2003-11-18
"1305MUD0410",41.979099,-73.671501,2003-11-18
"1305STI0409",41.971548,-73.673599,2010-10-03
"1305UPT0384",41.8475,-73.752998,2003-11-18
