"LakeID","LocationID","LocationName","County","Y_Coordinate","X_Coordinate","Type","DEC.Region","LocationType","Horz_Method","Horz_Datum","Report_LocationName"
"0303UWB5047","0303UWB5047_C","Unnamed Water Centroid","Jefferson",43.722599,-76.063599,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0303UWB1032A","0303UWB1032A_C","Unnamed Water Centroid","Jefferson",43.811001,-76.0634,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0602UWB5372","0602UWB5372_C","Unnamed Water Centroid","Broome",42.3452,-76.062798,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB5024","0303UWB5024_C","Unnamed Water Centroid","Jefferson",43.825199,-76.061096,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0303UWB1043","0303UWB1043_C","Unnamed Water Centroid","Jefferson",43.709801,-76.060501,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0703UWB0145A","0703UWB0145A_C","Unnamed Water Centroid","Onondaga",42.814499,-76.060501,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5409","0703UWB5409_C","Unnamed Water Centroid","Onondaga",42.905102,-76.060303,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB5093","0303UWB5093_C","Unnamed Water Centroid","Oswego",43.614201,-76.059303,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5118","0603UWB5118_C","Unnamed Water Centroid","Broome",42.048199,-76.058998,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5420","0703UWB5420_C","Unnamed Water Centroid","Onondaga",42.994701,-76.058998,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5145","0703UWB5145_C","Unnamed Water Centroid","Onondaga",43.132801,-76.058601,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5393","0703UWB5393_C","Unnamed Water Centroid","Onondaga",43.060101,-76.058403,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB5104","0303UWB5104_C","Unnamed Water Centroid","Oswego",43.540901,-76.056999,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5881","0603UWB5881_C","Unnamed Water Centroid","Broome",42.195301,-76.056297,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5232","0603UWB5232_C","Unnamed Water Centroid","Broome",42.236401,-76.055496,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0702UWB5395","0702UWB5395_C","Unnamed Water Centroid","Onondaga",43.102299,-76.055099,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB0002A","0303UWB0002A_C","Unnamed Water Centroid","Oswego",43.643002,-76.054703,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB0001B","0303UWB0001B_C","Unnamed Water Centroid","Oswego",43.632999,-76.054199,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB0037A","0703UWB0037A_C","Unnamed Water Centroid","Oswego",43.3293,-76.054199,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5423","0703UWB5423_C","Unnamed Water Centroid","Onondaga",42.9893,-76.052101,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5147","0703UWB5147_C","Unnamed Water Centroid","Onondaga",43.1623,-76.051804,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB0006B","0303UWB0006B_C","Unnamed Water Centroid","Oswego",43.568901,-76.0513,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5414","0703UWB5414_C","Unnamed Water Centroid","Onondaga",42.927601,-76.051201,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5233","0603UWB5233_C","Unnamed Water Centroid","Broome",42.227798,-76.050301,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5146","0703UWB5146_C","Unnamed Water Centroid","Onondaga",43.158798,-76.047996,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5236","0603UWB5236_C","Unnamed Water Centroid","Broome",42.171001,-76.047203,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5119","0603UWB5119_C","Unnamed Water Centroid","Broome",42.039902,-76.042099,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0901UWB5135","0901UWB5135_C","Unnamed Water Centroid","Jefferson",44.2486,-76.039803,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0303UWB5050","0303UWB5050_C","Unnamed Water Centroid","Jefferson",43.685799,-76.038002,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0303UWB5094","0303UWB5094_C","Unnamed Water Centroid","Oswego",43.597302,-76.037399,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB1038","0303UWB1038_C","Unnamed Water Centroid","Jefferson",43.740898,-76.037102,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0303UWB5053","0303UWB5053_C","Unnamed Water Centroid","Oswego",43.647999,-76.036598,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB1050A","0303UWB1050A_C","Unnamed Water Centroid","Oswego",43.644798,-76.035797,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB5016","0303UWB5016_C","Unnamed Water Centroid","Jefferson",43.9907,-76.035103,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0703UWB5410","0703UWB5410_C","Unnamed Water Centroid","Onondaga",42.8992,-76.033798,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5120","0603UWB5120_C","Unnamed Water Centroid","Broome",42.0429,-76.033699,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5235","0603UWB5235_C","Unnamed Water Centroid","Broome",42.181,-76.033699,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5493","0602UWB5493_C","Unnamed Water Centroid","Broome",42.386002,-76.0336,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB5028","0303UWB5028_C","Unnamed Water Centroid","Jefferson",43.7691,-76.033501,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0303UWB1050B","0303UWB1050B_C","Unnamed Water Centroid","Oswego",43.648201,-76.0326,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5492","0602UWB5492_C","Unnamed Water Centroid","Broome",42.380402,-76.032402,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5413","0703UWB5413_C","Unnamed Water Centroid","Onondaga",42.911099,-76.032204,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB5101","0303UWB5101_C","Unnamed Water Centroid","Oswego",43.5644,-76.030502,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5498","0602UWB5498_C","Unnamed Water Centroid","Cortland",42.432301,-76.029198,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5421","0703UWB5421_C","Unnamed Water Centroid","Onondaga",42.964199,-76.027496,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB0010","0303UWB0010_C","Unnamed Water Centroid","Oswego",43.536598,-76.027,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB0009","0303UWB0009_C","Unnamed Water Centroid","Oswego",43.545399,-76.026604,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB5177","0303UWB5177_C","Unnamed Water Centroid","Oswego",43.439301,-76.026398,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5505","0602UWB5505_C","Unnamed Water Centroid","Cortland",42.427799,-76.025299,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5144","0703UWB5144_C","Unnamed Water Centroid","Onondaga",43.130001,-76.0215,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB0009A","0303UWB0009A_C","Unnamed Water Centroid","Oswego",43.560501,-76.021301,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0603UWB5234","0603UWB5234_C","Unnamed Water Centroid","Broome",42.2005,-76.021202,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5500","0602UWB5500_C","Unnamed Water Centroid","Cortland",42.479099,-76.020599,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5506","0602UWB5506_C","Unnamed Water Centroid","Cortland",42.412602,-76.019997,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5612","0602UWB5612_C","Unnamed Water Centroid","Cortland",42.553799,-76.016502,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5385","0703UWB5385_C","Unnamed Water Centroid","Onondaga",43.044998,-76.0159,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5384","0703UWB5384_C","Unnamed Water Centroid","Onondaga",43.041699,-76.0158,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5383","0703UWB5383_C","Unnamed Water Centroid","Onondaga",43.038101,-76.015198,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5411","0703UWB5411_C","Unnamed Water Centroid","Onondaga",42.9104,-76.014297,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0703UWB5412","0703UWB5412_C","Unnamed Water Centroid","Onondaga",42.913601,-76.013901,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0303UWB5025","0303UWB5025_C","Unnamed Water Centroid","Jefferson",43.822498,-76.012703,"Centroid",6,"Lake","Interpolation-Other","NAD83",""
"0602UWB5499","0602UWB5499_C","Unnamed Water Centroid","Cortland",42.452499,-76.012497,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
"0602UWB5614","0602UWB5614_C","Unnamed Water Centroid","Cortland",42.5439,-76.011803,"Centroid",7,"Lake","Interpolation-Other","NAD83",""
